 v-sweep         v(vgs)          id              gm              gds             vth             gm_id           gm_gds          id_w           
 1.65000000e-01  1.65000000e-01  7.78435094e-11  2.06198464e-09  1.78220561e-11  6.10968829e-01  2.64888448e+01  1.15698471e+02  7.78435094e-06 
 1.70000000e-01  1.70000000e-01  8.88746854e-11  2.35735296e-09  2.03755358e-11  6.10968829e-01  2.65244591e+01  1.15695262e+02  8.88746854e-06 
 1.75000000e-01  1.75000000e-01  1.01483266e-10  2.69495452e-09  2.32943816e-11  6.10968829e-01  2.65556541e+01  1.15691181e+02  1.01483266e-05 
 1.80000000e-01  1.80000000e-01  1.15907284e-10  3.08081108e-09  2.66307640e-11  6.10968829e-01  2.65799610e+01  1.15686170e+02  1.15907284e-05 
 1.85000000e-01  1.85000000e-01  1.32388323e-10  3.52179925e-09  3.04442789e-11  6.10968829e-01  2.66020385e+01  1.15680166e+02  1.32388323e-05 
 1.90000000e-01  1.90000000e-01  1.51224810e-10  4.02577104e-09  3.48029997e-11  6.10968829e-01  2.66211016e+01  1.15673105e+02  1.51224810e-05 
 1.95000000e-01  1.95000000e-01  1.72761361e-10  4.60169121e-09  3.97846758e-11  6.10968829e-01  2.66361135e+01  1.15664916e+02  1.72761361e-05 
 2.00000000e-01  2.00000000e-01  1.97374561e-10  5.25979372e-09  4.54781010e-11  6.10968829e-01  2.66487925e+01  1.15655527e+02  1.97374561e-05 
 2.05000000e-01  2.05000000e-01  2.25512053e-10  6.01175995e-09  5.19846720e-11  6.10968829e-01  2.66582644e+01  1.15644857e+02  2.25512053e-05 
 2.10000000e-01  2.10000000e-01  2.57678323e-10  6.87092162e-09  5.94201662e-11  6.10968829e-01  2.66647250e+01  1.15632824e+02  2.57678323e-05 
 2.15000000e-01  2.15000000e-01  2.94431146e-10  7.85249173e-09  6.79167665e-11  6.10968829e-01  2.66700444e+01  1.15619340e+02  2.94431146e-05 
 2.20000000e-01  2.20000000e-01  3.36431327e-10  8.97382734e-09  7.76253687e-11  6.10968829e-01  2.66735783e+01  1.15604312e+02  3.36431327e-05 
 2.25000000e-01  2.25000000e-01  3.84435594e-10  1.02547285e-08  8.87182098e-11  6.10968829e-01  2.66747634e+01  1.15587640e+02  3.84435594e-05 
 2.30000000e-01  2.30000000e-01  4.39289494e-10  1.17177783e-08  1.01391860e-10  6.10968829e-01  2.66743878e+01  1.15569222e+02  4.39289494e-05 
 2.35000000e-01  2.35000000e-01  5.01959363e-10  1.33887289e-08  1.15870629e-10  6.10968829e-01  2.66729339e+01  1.15548945e+02  5.01959363e-05 
 2.40000000e-01  2.40000000e-01  5.73567860e-10  1.52969408e-08  1.32410442e-10  6.10968829e-01  2.66698011e+01  1.15526695e+02  5.73567860e-05 
 2.45000000e-01  2.45000000e-01  6.55379750e-10  1.74758810e-08  1.51303252e-10  6.10968829e-01  2.66652746e+01  1.15502349e+02  6.55379750e-05 
 2.50000000e-01  2.50000000e-01  7.48837437e-10  1.99636892e-08  1.72882050e-10  6.10968829e-01  2.66595769e+01  1.15475778e+02  7.48837437e-05 
 2.55000000e-01  2.55000000e-01  8.55600035e-10  2.28038195e-08  1.97526569e-10  6.10968829e-01  2.66524294e+01  1.15446847e+02  8.55600035e-05 
 2.60000000e-01  2.60000000e-01  9.77546932e-10  2.60457684e-08  2.25669759e-10  6.10968829e-01  2.66440082e+01  1.15415413e+02  9.77546932e-05 
 2.65000000e-01  2.65000000e-01  1.11682397e-09  2.97459000e-08  2.57805144e-10  6.10968829e-01  2.66343676e+01  1.15381328e+02  1.11682397e-04 
 2.70000000e-01  2.70000000e-01  1.27587896e-09  3.39683802e-08  2.94495175e-10  6.10968829e-01  2.66235131e+01  1.15344437e+02  1.27587896e-04 
 2.75000000e-01  2.75000000e-01  1.45749723e-09  3.87862344e-08  3.36380702e-10  6.10968829e-01  2.66115321e+01  1.15304576e+02  1.45749723e-04 
 2.80000000e-01  2.80000000e-01  1.66486913e-09  4.42825442e-08  3.84191726e-10  6.10968829e-01  2.65982133e+01  1.15261577e+02  1.66486913e-04 
 2.85000000e-01  2.85000000e-01  1.90161131e-09  5.05517997e-08  4.38759574e-10  6.10968829e-01  2.65836659e+01  1.15215263e+02  1.90161131e-04 
 2.90000000e-01  2.90000000e-01  2.17185203e-09  5.77014271e-08  5.01030699e-10  6.10968829e-01  2.65678445e+01  1.15165452e+02  2.17185203e-04 
 2.95000000e-01  2.95000000e-01  2.48029153e-09  6.58535127e-08  5.72082302e-10  6.10968829e-01  2.65507147e+01  1.15111956e+02  2.48029153e-04 
 3.00000000e-01  3.00000000e-01  2.83228729e-09  7.51467475e-08  6.53139993e-10  6.10968829e-01  2.65321769e+01  1.15054580e+02  2.83228729e-04 
 3.05000000e-01  3.05000000e-01  3.23392513e-09  8.57386176e-08  7.45597770e-10  6.10968829e-01  2.65122457e+01  1.14993125e+02  3.23392513e-04 
 3.10000000e-01  3.10000000e-01  3.69213637e-09  9.78078703e-08  8.51040579e-10  6.10968829e-01  2.64908607e+01  1.14927387e+02  3.69213637e-04 
 3.15000000e-01  3.15000000e-01  4.21480095e-09  1.11557287e-07  9.71269770e-10  6.10968829e-01  2.64679848e+01  1.14857160e+02  4.21480095e-04 
 3.20000000e-01  3.20000000e-01  4.81088591e-09  1.27216801e-07  1.10833181e-09  6.10968829e-01  2.64435290e+01  1.14782234e+02  4.81088591e-04 
 3.25000000e-01  3.25000000e-01  5.49058399e-09  1.45046990e-07  1.26455064e-09  6.10968829e-01  2.64174067e+01  1.14702397e+02  5.49058399e-04 
 3.30000000e-01  3.30000000e-01  6.26546637e-09  1.65343001e-07  1.44256406e-09  6.10968829e-01  2.63895760e+01  1.14617441e+02  6.26546637e-04 
 3.35000000e-01  3.35000000e-01  7.14868165e-09  1.88438936e-07  1.64536464e-09  6.10968829e-01  2.63599564e+01  1.14527159e+02  7.14868165e-04 
 3.40000000e-01  3.40000000e-01  8.15514767e-09  2.14712766e-07  1.87634572e-09  6.10968829e-01  2.63284952e+01  1.14431346e+02  8.15514767e-04 
 3.45000000e-01  3.45000000e-01  9.30182154e-09  2.44591811e-07  2.13935293e-09  6.10968829e-01  2.62950445e+01  1.14329809e+02  9.30182154e-04 
 3.50000000e-01  3.50000000e-01  1.06078808e-08  2.78558865e-07  2.43874194e-09  6.10968829e-01  2.62596149e+01  1.14222362e+02  1.06078808e-03 
 3.55000000e-01  3.55000000e-01  1.20951249e-08  3.17159011e-07  2.77944309e-09  6.10968829e-01  2.62220534e+01  1.14108834e+02  1.20951249e-03 
 3.60000000e-01  3.60000000e-01  1.37882132e-08  3.61007216e-07  3.16703352e-09  6.10968829e-01  2.61823059e+01  1.13989073e+02  1.37882132e-03 
 3.65000000e-01  3.65000000e-01  1.57150879e-08  4.10796763e-07  3.60781774e-09  6.10968829e-01  2.61402778e+01  1.13862948e+02  1.57150879e-03 
 3.70000000e-01  3.70000000e-01  1.79073822e-08  4.67308617e-07  4.10891725e-09  6.10968829e-01  2.60958643e+01  1.13730355e+02  1.79073822e-03 
 3.75000000e-01  3.75000000e-01  2.04008401e-08  5.31421807e-07  4.67837028e-09  6.10968829e-01  2.60490158e+01  1.13591224e+02  2.04008401e-03 
 3.80000000e-01  3.80000000e-01  2.32359021e-08  6.04124926e-07  5.32524241e-09  6.10968829e-01  2.59996330e+01  1.13445526e+02  2.32359021e-03 
 3.85000000e-01  3.85000000e-01  2.64582560e-08  6.86528842e-07  6.05974921e-09  6.10968829e-01  2.59476226e+01  1.13293276e+02  2.64582560e-03 
 3.90000000e-01  3.90000000e-01  3.01194412e-08  7.79880749e-07  6.89339176e-09  6.10968829e-01  2.58929356e+01  1.13134546e+02  3.01194412e-03 
 3.95000000e-01  3.95000000e-01  3.42776261e-08  8.85579670e-07  7.83910619e-09  6.10968829e-01  2.58355018e+01  1.12969470e+02  3.42776261e-03 
 4.00000000e-01  4.00000000e-01  3.89984081e-08  1.00519356e-06  8.91142837e-09  6.10968829e-01  2.57752459e+01  1.12798253e+02  3.89984081e-03 
 4.05000000e-01  4.05000000e-01  4.43556765e-08  1.14047812e-06  1.01266748e-08  6.10968829e-01  2.57121120e+01  1.12621186e+02  4.43556765e-03 
 4.10000000e-01  4.10000000e-01  5.04325683e-08  1.29339759e-06  1.15031406e-08  6.10968829e-01  2.56460782e+01  1.12438650e+02  5.04325683e-03 
 4.15000000e-01  4.15000000e-01  5.73226799e-08  1.46614753e-06  1.30613164e-08  6.10968829e-01  2.55770933e+01  1.12251131e+02  5.73226799e-03 
 4.20000000e-01  4.20000000e-01  6.51311680e-08  1.66118000e-06  1.48241245e-08  6.10968829e-01  2.55051468e+01  1.12059232e+02  6.51311680e-03 
